title,company,location,summary,salary
Business Intelligence Analyst,One Model,Brisbane QLD,"Ensuring solutions meet business needs and requirements.
Prioritizing initiatives based on business needs and requirements.",121207.5
Intelligence Analyst,Sibylline Americas Inc.,Australia,"Production of insightful and actionable intelligence products.
Strong, demonstrable interest in security and intelligence.
Excellent written and spoken English.",121207.5
Global Director of CRM,Zip,Australia,"Continuously seek to improve the intelligence available for relevant, personalized, real-time marketing.
Own and drive growth recommendations to the business,…",121207.5
Performance Director,Easy Payroll Global,Australia,"Our client is looking for its performance director to play a critical role in its growing business.
Ability to prepare business plans and provide input into…", 120000
Business Intelligence Analyst - Statistics/Mathematics,Agile Talent,Sydney NSW,"The successful applicant will have an actuarial, statistical, mathematical, economics or other quantitative field qualification, or significant work experience…",121207.5
Government Engineering Lead (PV Cleared),Microsoft,Australia,Demonstrated history of working in the defense and/or intelligence space in Australia at the business decision maker level.,121207.5
Business Intelligence Officer,Careers at Council,Bankstown NSW,"Participate in business analysis activities to gather stakeholder reporting and dashboard requirements.
In this role you will support the Information services…",121207.5
Business Intelligence Manager,End Street Sleeping Collaboration,Sydney Central Business District NSW,"Help to end rough sleeping in NSW.
Based in CBD with flexible working arrangements.
Full time or part time opportunity.
Technical skills required for this role:",121207.5
Junior Insights Analyst,Oneflare,Sydney NSW,"Join us today and be part of a Deloitte Fast 50 business.
You will also be fascinated by the opportunity and capabilities represented by the cognitive service…",121207.5
Business Intelligence Developer,ACT Government,Canberra ACT,"Your role will be to develop dashboards, reports and other business intelligence (BI) products using a variety of data stored within the ACT Government's data…", 117249
Business Intelligence Developer,Safe Places for Children,Brisbane QLD,"Recent and relevant commercial experience engaging with business users.
Leave approvals may depend on business needs at the time.
Strong M and DAX skills.", 90000
Testing Analyst (SSAS/SSIS),Australian Prudential Regulation Authority (APRA),Sydney NSW,"Addressing issues raised by report developers or business end-users.
The role will sit as part of a Product team working along-side the development team and…",121207.5
Business Intelligence Officer,Canterbury-Bankstown Council,Australia,"Participate in business analysis activities to gather stakeholder reporting and dashboard requirements.
In this role you will support the Information services…",121207.5
Risk Advisory - Cyber Risk,Deloitte,Canberra ACT,If you’re fascinated by the role that technology plays in business and love the idea of helping clients manage their current and emerging cyber risks – this is…,121207.5
Product Specialist - Biosurgery,Johnson & Johnson Family of Companies,Australia,"Achievement orientated with solid business acumen.
Maintain strong market intelligence to maximize opportunities to both protect and grow the business; and…",121207.5
Business Development Representative,Pulse Talent,Australia,"As a Business Development Manager, you will be working on business to business and drive the business profitability.
What does Pulse Talent do?*.", 90000
Marketing Specialist,Quarter Acre,Australia,"What sets us apart from the rest is data driven techniques using market intelligence and mathematical modelling.
The successful candidate must have:", 89000
Business Development Representative,Pulse Talent,Australia,"As a Business Development Manager, you will be working on business to business and drive the business profitability.
What does Pulse Talent do?*.", 90000
Application Support Engineer,Easy Payroll Global,Australia,They turn a business’s ideas into a tailored business solution by developing complementary software that transforms the user experience of key stakeholders., 130000
Testing Analyst (SSAS/SSIS),APRA,Australia,"Addressing issues raised by report developers or business end-users.
The role will sit as part of a Product team working along-side the development team and…",121207.5
"People & Culture Business Partner, EY Port Jackson Partners",EY,Sydney NSW,"There is no business-as-usual here!
Commercial acumen and a clear understanding of how HR can add value to the business.
Skills and attributes for success.",121207.5
Data Analyst,PKF Australia,Sydney NSW,"To work with like-minded people that are passionate about data analytics and business intelligence.
The team supports our clients with revolutionary initiatives…",121207.5
Director - Program Evaluation,Kantar TNS,Sydney NSW,"Our business is growing, and Program Evaluation is a key area for expansion for us.
We go beyond the obvious, using intelligence, passion and creativity to…",121207.5
Senior Investigator,Australian Financial Security Authority (AFSA),Sydney NSW,"Propose and facilitate innovation initiatives and contribute to business improvement.
Be able to discern and assess incoming information from reliable…", 94601
Complaints Officer,Westpac Group,Parramatta NSW,"Analyse key trends in complaints to successfully identify the required business management decisions to achieve optimal business outcomes.
What’s in it for me?",121207.5
Risk Advisory - Forensic,Deloitte,Sydney NSW,"As a part of the Risk Advisory family, our 100+ team is comprised of practitioners from all sorts of fields ranging from law enforcement and accounting through…",121207.5
"Data Scientist, Digital Delta",KPMG,Sydney NSW,"You will work with business stakeholders on factual problem formation, data identification and deriving answers that can be operationalized to solve business…",121207.5
IT Graduate,Allianz,Sydney NSW,"Gain exposure to a wide variety of business functions within our IT Division.
Professional development opportunities to continue to build your business and…",121207.5
Business Intelligence Analyst,One Model,Brisbane QLD,"Ensuring solutions meet business needs and requirements.
Prioritizing initiatives based on business needs and requirements.",121207.5
Change Analyst,Allianz,Sydney NSW,"Allianz Australia is undergoing a significant level of change across the business driven by the changing regulatory environment, changing customer expectations…",121207.5
Marketing Specialist,Quarter Acre,Australia,"What sets us apart from the rest is data driven techniques using market intelligence and mathematical modelling.
The successful candidate must have:", 89000
Imaginative Care Board Director (Non-executive/Volunteer),Imaginative Human Services Limited,Australia,"Active contribution - a director needs to be an active contributor with genuine interest in the company and its business.
Be part of our growing team!.",121207.5
Intelligence Analyst,Sibylline Americas Inc.,Australia,"Production of insightful and actionable intelligence products.
Strong, demonstrable interest in security and intelligence.
Excellent written and spoken English.",121207.5
Change Analyst,Allianz,Sydney NSW,"Allianz Australia is undergoing a significant level of change across the business driven by the changing regulatory environment, changing customer expectations…",121207.5
Business Intelligence Analyst,The Create Partnership,Sydney NSW,"Candidates must demonstrate keen curiosity, have strong experience working with databases and business intelligence software, and be capable storytellers using…",121207.5
Senior Business Intelligence (BI) Developer,FutureYou,Ryde NSW,"Broad enterprise wide understanding of business processes, such as:
Maintain and providing BAU support to the business on the current platform.",121207.5
Concrete Plant Manager,Hanson,McDougalls Hill NSW,"Engage with customers to generate new business to achieve business and sales goals.
Conduct regular market analysis and gather market intelligence within your…",121207.5
"Principal Consultant (Remote, AUS)",CrowdStrike,Australia,"Engage in some degree of sales and business development opportunities.
Are you ready to “do the work” while also supporting business line development activities…",121207.5
Oracle Applications DBA,eHealth NSW,Sydney NSW,"EHealth NSW is responsible for the delivery of digital solutions for clinical care and business services, supported by smart infrastructure, providing a…", 168333
Business Intelligence Manager,Sirius People,Sydney NSW,"Responsible for performance reporting and analytics management for BAU and business improvement.
Proficient in Microsoft Business intelligence tech stack (SSIS,…",121207.5
Service Manager,Cummins Inc.,Sydney NSW,"This role operates within core business hours, Monday – Friday.
Emotional intelligence and having a balanced view of customer and staff perspectives.",121207.5
Market Intelligence Manager,Access Corporate Group,North Sydney NSW,To set up a Market Intelligence system and complete comprehensive reading to generate business insights to support business growth and investment strategy.,121207.5
Reporting analyst,Macquarie Group Limited,Sydney NSW,"Ability to translate complex report logic to non-technical business users.
COG's purpose is to drive operational excellence through business-aligned services…",121207.5
Data Modeler,Hearing Australia,New South Wales,"Implement new business intelligence solutions and modify or configure existing deployed solutions.
Anticipates business client’s needs and proposes alternative…",121207.5
SAP BASIS Administrator,Cognizant,Sydney NSW,"Regular support for production operations, business process and support in providing the Financial sales reports, and business planning.", 160000
Data & Visualisation Analyst,HSBC,Sydney NSW,"Relevant commercial experience in building and maintaining SAS datamarts to support business intelligence.
Delivery of high quality reporting, dashboards and ad…",121207.5
SDR for Australia & Oceania Region,OSIsoft,Sydney NSW,"OSIsoft is a global leader in operational intelligence.
The PI System™ enables users to manage assets, mitigate risks, comply with regulations, improve…",121207.5
APAC Business Development Director (Water),Royal HaskoningDHV,Sydney NSW,"A strong track record in the Water sector, with experience in the business to business environment and sharp business acumen.",121207.5
APAC Business Development Director (Water),Royal HaskoningDHV,Sydney NSW,"A strong track record in the Water sector, with experience in the business to business environment and sharp business acumen.",121207.5
Systems Analyst,Artificial Intelligence Australia Pty Ltd,Sydney NSW,"You must have a high level of technical expertise and clear insights into current business practices.
Transmit the business and functional knowledge to the…", 95000
Part-Time Analyst (Contractor),Access Partnership,Sydney NSW,"Draft actionable reports both in native language and business English.
Contribute to business development through research on new clients and industry trends.",121207.5
Data Analyst Visualisation,Sustainability Victoria,Melbourne City Centre VIC,"Proven ability to identify data gaps and fill those using research, surveys, consultation or intelligence.
The Data Analyst - Visualisation will work as part of…",121207.5
Head of Strategy and Market Intelligence,Microsoft,Sydney NSW,"Insights and Analysis: Defines, measures, and optimizes business impact by understanding and applying data-driven intelligence to create change.",121207.5
BI & Data Lead,Freedom Furniture,Australia,Develop distributed BI competencies and capabilities across the business including principles of business driven / self-service BI.,121207.5
Data Scientist,Winc,Mascot NSW,"Winc is a leading business supplies company in Australia.
Liaise with the Business Intelligence Team and business users to provide solution advice.",121207.5
Activation Manager-Programmatic,Resolution Media,Brisbane QLD,"At Resolution, our Remarkable legacy symbolises enthusiasm, creativity, success, intelligence and determination.
Then something catches your eye, a purple cow!",121207.5
Machine Learning Engineer,Accenture,Sydney NSW,Articulate business impact and benefits of advanced analytics solutions via business/scientific storytelling and advanced visualisation techniques.,121207.5
Technical Business Analyst,KPMG,Canberra ACT,"Experience working within complex business environments across a range of industries and sectors.
You will utilize your design, analytical and problem solving…",121207.5
Business Solutions Consultant,Hyper Anna,Sydney NSW,"3+ years at a consulting firm, with client-facing experience delivering data or business intelligence projects preferred.
A day in your life will include:",121207.5
Business Intelligence,Tyroola,Sunshine Coast QLD,"Currently we are looking for a skilled intern for our business intelligence / pricing department (f/m).
Retrieve, analyse and present critical data and help…",121207.5
Business Intelligence Analyst,Runge,Brisbane QLD,"Translate business requirements into reporting and analysis specifications.
You will be responsible for operational reporting, performance reporting, marketing…",121207.5
MARKET RESEARCH ANALYST,Torrens University Australia,Australia,"Provide market intelligence in a rewarding setting.
Collaborate with staff and analysts in business processes, quality assurance, marketing and product…",121207.5
Security Intelligence Senior Consultant,Westpac Group,Sydney NSW,"The team provides tactical, operational and strategic threat intelligence to support our business.
Demonstrated experience in an intelligence and/or cyber…",121207.5
SDR for Australia & Oceania Region,OSIsoft,Sydney NSW,"OSIsoft is a global leader in operational intelligence.
The PI System™ enables users to manage assets, mitigate risks, comply with regulations, improve…",121207.5
APAC Business Development Director (Water),Royal HaskoningDHV,Sydney NSW,"A strong track record in the Water sector, with experience in the business to business environment and sharp business acumen.",121207.5
Systems Analyst,Artificial Intelligence Australia Pty Ltd,Sydney NSW,"You must have a high level of technical expertise and clear insights into current business practices.
Transmit the business and functional knowledge to the…", 95000
