title,company,location,summary,salary
Data Analyst,SA Health,Adelaide SA,"The Data Analyst is responsible for supporting CALHN's Business Intelligence and Performance Reporting Unit to deliver trusted, timely and actionable data to…",106236.58
Data Analyst,Greythorn,Sydney NSW,"Extensive, hands-on data analysis experience - including a thorough appreciation of how data flows through systems, relationships between data, and data…",106236.58
Data Analyst,Lendlease,Sydney Central Business District NSW,"Experience as a data analyst or related field – BI/Business Analysis.
Assist in the normalisation and development of data assets, including developing cleansing…",106236.58
ASD 5 - Security Audit Analyst and Reporter,Australian Government Department of Defence,Australia,"Ability to work with and translate technical data sets.
Adopting an analytical approach across various data sets to understand security risks.", 78873
Data Analyst,Lendlease,Australia,"Experience as a data analyst or related field – BI/Business Analysis.
Assist in the normalisation and development of data assets, including developing cleansing…",106236.58
Entry Level Intelligence Analyst (Full Training Provided),Royal Australian Navy,Australia,"A role as an Entry Level Intelligence Analyst (known in the Navy as Cryptologic Linguist) is exciting, challenging and immensely rewarding.", 89999
Data Analyst - Health Economics and Data Analysis,Curtin University of Technology,Perth WA,"Application of technical skills to real-world big data sets; with the ability to automate routine data processing activities.
In this role you will:",106236.58
Data Analyst RBS Customer Remediation,Commonwealth Bank,Sydney Central Business District NSW,"Provide data expertise in support of Remediation activities which will include information gathering, data analysis, design and building of data models.",106236.58
Inventory Analyst,Fisher & Paykel Appliances,Sydney NSW,This opportunity is best suited to a data driven Inventory Analyst who will be a strong cross functional ambassador across the organisation.,106236.58
APS Level 5 - Data Analyst,Australian Government - Department of Health,Woden ACT,As a Data Analyst within the Analytics Projects and Futures Section you will have the opportunity to contribute to the development of innovative ideas to tackle…,106236.58
Client Onboarding Data Analyst,Faethm,Sydney NSW,"A passion for all things data.
Familiarity with Tableau or other BI data viz tools desired.
Experience in processing, cleaning, organising and manipulating data…",106236.58
Analyst Programmer,University of Wollongong,Wollongong NSW,AHSRI is home to a team of software developers and IT specialists who participate in multi-disciplinary teams to support the AHSRI research programme by…, 96811
Data Analyst,Paxus,Sydney NSW,"Build end to end data lineage from source to reporting layer.
Ensure the completeness and coverage of all requirements (functional, non-functional, technical…",130000.0
Data Analyst - Brisbane,Johnathan Thurston Academy,Newstead QLD,"Contribute to data governance processes and procedures.
This includes developing data sets for evolving analytics requirements.
Our client: Bank of Queensland.",106236.58
Economic Analyst,REA Group,Sydney NSW,"Experience working with property data.
Access unparalleled property and behavioural data.
Collaborate with product, design, data science and economics teams to…",106236.58
Remediation Analyst,TAL,Sydney NSW,"Delivering weekly remediation reporting data and stakeholder reporting.
Remediation Analyst – 6 month Fixed Term Contract.
Welcome to This Australian Life.",106236.58
Senior Data Analyst,Health System Support Group,Sydney NSW,"Prepare high quality data visualisations and other data products when requested.
Liaison with data providers, data users, subject matter experts and other…", 129658
Pricing Data Analyst - Macquarie Park,Blackwoods,Sydney NSW,"Solid experience working as a data analyst.
Collecting data from various data sources to develop pricing models/ data models.
Coding using SQL, Python, Pyspark.",106236.58
Pricing Analyst,Origin Energy Services Ltd,Barangaroo NSW,"Join a highly engaged team of professionals in the Energy sector.
Provide analysis and reporting to capture value in the existing portfolio.",106236.58
Accounting Data Analyst,Epoch Capital,Sydney NSW,"The data analyst will focus on seeking out opportunities in the team's workflow to automate and iron out inefficiencies.
What the role is all about….",106236.58
Business Process Mapping/Data Governance Officer,CareCone Australia,Sydney NSW,"Lead a team of 4-5 analyst on delivery.
Urgent requirement for Business Process Mapping/Data Governance Officer.
Strong analytical and time management skills.",110000.0
Entry Level Intelligence Analyst (Full Training Provided),Royal Australian Navy,Australia,"A role as an Entry Level Intelligence Analyst (known in the Navy as Cryptologic Linguist) is exciting, challenging and immensely rewarding.", 89999
Migration Analyst,Programmed,Australia,"Assist in the resolution of data quality issues and discrepancies in data between legacy systems and source agreements.
Must have experience using Loan IQ.",106236.58
GIS Analyst,CGC Recruitment,Australia,"Demonstrated GIS skills and experience in management of spatial data.
Must have prior experience using ArcGIS and ability to manage spatial data.",106236.58
Junior Data Analyst (Contract),Veeva Systems,Sydney NSW,"Implement automated data collection and validation processes.
Analyse and perform data matching, cleansing, validation and load on incoming customer data by…",106236.58
Data Business Analyst - Max term opportunity,Macquarie Group Limited,Sydney NSW,"Over three years of experience in data and/or technical business analyst roles.
Analyse existing data sources including the enterprise data warehouse to…",106236.58
Data Analyst - Contract role,oOh!,North Sydney NSW,"Proactively solve business problems with data and show strong competency in clear data visualisation and reporting.
And when we do that well, we celebrate it.",106236.58
Data Analyst,Finite IT,Sydney NSW,"Locate and define new process improvement opportunities in the sourcing, management and maintenance of enterprise data.",170000.0
"Senior Data Analyst, Data Analytics & Robotics",Optus,Sydney NSW,"Performing more complex data analytic work.
Excellent decision-making skills underpinned by a strong data science foundation.",106236.58
Data & Operations Graduate,Crimson Education,Remote,The Strategy Operations Analyst holds a key role within our Strategy Consulting team: they will enable stronger student outcomes by providing data-backed…,106236.58
Data Scientist,Vodafone,North Sydney NSW,"Collect, aggregate and analyse data from multiple internal and external sources to drive actionable insights.
2-3+ years of hands on experience in data science,…",106236.58
Data Analyst - Health Economics and Data Analysis,Curtin University of Technology,Perth WA,"Application of technical skills to real-world big data sets; with the ability to automate routine data processing activities.
In this role you will:",106236.58
Data Analyst RBS Customer Remediation,Commonwealth Bank,Sydney Central Business District NSW,"Provide data expertise in support of Remediation activities which will include information gathering, data analysis, design and building of data models.",106236.58
Inventory Analyst,Fisher & Paykel Appliances,Sydney NSW,This opportunity is best suited to a data driven Inventory Analyst who will be a strong cross functional ambassador across the organisation.,106236.58
Data Analyst,Lendlease,Australia,"Experience as a data analyst or related field – BI/Business Analysis.
Assist in the normalisation and development of data assets, including developing cleansing…",106236.58
Head of Data Product,News Corp Australia,Australia,"Developed for both internal and external customers, News Connect is pivotal in driving the evolution of News Corp’s data monetisation capabilities and…",106236.58
Systems Analyst,Chief Group Services,Australia,"An applicant with digital data visualisation expertise and experience working with Oracle Bi is preferable.
Our services include security and cleaning, car park…", 100000
Pricing Analyst,Origin Energy Services Ltd,Barangaroo NSW,"Join a highly engaged team of professionals in the Energy sector.
Provide analysis and reporting to capture value in the existing portfolio.",106236.58
Accounting Data Analyst,Epoch Capital,Sydney NSW,"The data analyst will focus on seeking out opportunities in the team's workflow to automate and iron out inefficiencies.
What the role is all about….",106236.58
Business Process Mapping/Data Governance Officer,CareCone Australia,Sydney NSW,"Lead a team of 4-5 analyst on delivery.
Urgent requirement for Business Process Mapping/Data Governance Officer.
Strong analytical and time management skills.",110000.0
Data Operations Analyst,Westpac Group,Sydney Central Business District NSW,"Strong business analysis and data skills.
Perform data quality monitoring activities for the customer domain.
What’s in it for me?",106236.58
Data & Insight Analyst,New World Management,Sydney NSW,"Ability to understand, manage and manipulate complex data.
Experience with data manipulation tools (e.g. AWS Athena, Microsoft SQL) and visualisation tools (e.g…",106236.58
Senior Data Analyst,SBS,Sydney NSW,"Strong proficiency in data warehousing and data modelling concepts.
Contributed to a shared understanding of data analytics methodologies and liaise with…",106236.58
Specialist Data Analyst,BHP,Queensland,"Expert knowledge and experience with various data platforms, programming languages (such as R or Python) and technology used in data analysis, analytics and…",106236.58
Senior Data Analyst,Commonwealth Bank,Sydney Central Business District NSW,"End-to end ownership and delivery of data-driven remediation projects:
Have 4-6 years’ experience working in roles involving data analysis, Management…",106236.58
"Expressions of Interest- Strategy, Growth & Digital",KPMG,Sydney NSW,"Our mission is to assist organisations turn their data into strategic assets, developing data strategies and data management practices that enable responsible…",106236.58
Data Analyst Visualisation,Sustainability Victoria,Melbourne City Centre VIC,The Data Analyst - Visualisation will work as part of the Recycling industry Support team to develop solutions derived from multiple data sources using a range…,106236.58
"Analyst, Complaints Risks & Incidents",AMP Limited,St Leonards NSW,"Support the team to manage the review of complaints data to identify, record and refer Incidents and Potential Systemic Issues as they relate to complaints…",106236.58
Service Integrity analyst,Nielsen,Macquarie Park NSW,"Providing support to the data delivery team to ensure daily data delivery according to contractual KPI’s and commitments.
A Little Bit About you.",106236.58
